sample_name,size,time
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_logname.sample,0028048,0.1943
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_objdump.sample,1686864,18.4809
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sha1sum.sample,0046768,0.6677
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_nm-new.sample,1007444,9.4411
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_sum.sample,0053804,0.3643
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_chroot.sample,0032144,0.2090
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_split.sample,0071176,0.6148
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_nice.sample,0039632,0.5453
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_addr2line.sample,0864376,8.9172
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_ginstall.sample,0139600,1.7861
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_groups.sample,0040752,0.2714
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_readelf.sample,0370836,4.3361
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_strings.sample,0864840,7.9778
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_printenv.sample,0036752,0.2425
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_mkfifo.sample,0029304,0.1934
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_ld-new.sample,1698036,28.0428
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_ld-new.sample,1650632,29.9517
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_strip-new.sample,1049268,10.9842
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_false.sample,0021988,0.1427
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_link.sample,0026544,0.1750
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_sha1sum.sample,0043120,0.3486
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_readlink.sample,0051056,0.3404
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_comm.sample,0034896,0.2356
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sort.sample,0115128,1.2153
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_stty.sample,0074980,1.1182
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_chown.sample,0057392,0.4378
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_getlimits.sample,0045852,0.3110
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_fold.sample,0033128,0.2304
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_cut.sample,0052432,0.3740
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_cp.sample,0119968,1.4227
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_uname.sample,0031024,0.2242
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_tail.sample,0062236,0.7132
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_ld-new.sample,1823316,30.2263
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_unlink.sample,0029256,0.2076
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_base64.sample,0033968,0.2422
